id,brier,rps,auc,n,lat,lon,pietra,brier_week1,brier_week2,brier_week3,brier_week4,brier_later,auc_week1,auc_week2,auc_week3,auc_week4,auc_later,model,cv_method
Kofele,0.7965199234272397,0.7108104000442432,0.7037037037037037,9,,,,,,,,,,,,,,blended_model,global
Kofele town,0.8190697592741656,0.738577023848066,0.7037037037037037,9,,,,,,,,,,,,,,blended_model,global
Kokosa,0.6704827516429456,0.48244846411400516,0.7098765432098766,9,,,,,,,,,,,,,,blended_model,global
Kolla Debba town,0.6683613591468481,0.4948903535856398,0.7993827160493827,9,,,,,,,,,,,,,,blended_model,global
Kombolcha town,0.5486450853908779,0.41069840443703004,0.8677777777777778,15,,,,,,,,,,,,,,blended_model,global
Kore,0.7148232710731827,0.5929629613655033,0.7345679012345679,9,,,,,,,,,,,,,,blended_model,global
Koye,1.0611326244263102,1.1071335689602675,0.5833333333333334,9,,,,,,,,,,,,,,blended_model,global
Kuni /Oda Bultum,1.2397953164909143,1.4803797418818994,0.5308641975308642,9,,,,,,,,,,,,,,blended_model,global
Kura Jida,1.0938828579050996,1.0981104831725974,0.5864197530864198,9,,,,,,,,,,,,,,blended_model,global
Kutaber,0.45075906954040784,0.28955452668730586,0.9133333333333333,15,,,,,,,,,,,,,,blended_model,global
Kuyu,0.770933352290256,0.603785341107633,0.72,10,,,,,,,,,,,,,,blended_model,global
Lalibela town,0.4983075183944922,0.4725558178566183,0.8698979591836735,14,,,,,,,,,,,,,,blended_model,global
Lasta,0.49847027213174416,0.4073390509758017,0.8649584487534626,19,,,,,,,,,,,,,,blended_model,global
Lay Armacho,0.7810761819213092,0.5489097466278099,0.6728395061728395,9,,,,,,,,,,,,,,blended_model,global
Lay Gayint,0.3643903042261029,0.25127120145384585,0.9452662721893491,13,,,,,,,,,,,,,,blended_model,global
Legambo,0.6368816998766739,0.605685457561894,0.8387573964497042,13,,,,,,,,,,,,,,blended_model,global
Legehida,0.6866067759602478,0.6638541204642657,0.8284023668639053,13,,,,,,,,,,,,,,blended_model,global
Liban Jawi,0.712446773137989,0.5401388212856091,0.7908163265306123,7,,,,,,,,,,,,,,blended_model,global
Liben Chukala,0.4267751858663128,0.2670889009530877,0.9311224489795918,14,,,,,,,,,,,,,,blended_model,global
Libokemekem,0.3068046797182533,0.1913836227249539,1.0,13,,,,,,,,,,,,,,blended_model,global
Limu Bilbilo,0.4765797221222306,0.40429020731364923,0.9045138888888888,12,,,,,,,,,,,,,,blended_model,global
Lome (OR),0.46892676764564606,0.3156230744029334,0.9145408163265306,14,,,,,,,,,,,,,,blended_model,global
Lude Hitosa,0.4425927855850798,0.2599703933062028,0.9177777777777778,15,,,,,,,,,,,,,,blended_model,global
Lumame town,0.721644037526687,0.5545800734947878,0.76,10,,,,,,,,,,,,,,blended_model,global
Mana Abichu,0.9597709409700597,0.9634309657692168,0.6018518518518519,9,,,,,,,,,,,,,,blended_model,global
Masero Denb /Central Armacho,0.7988624833636959,0.5356961503690569,0.7438271604938271,9,,,,,,,,,,,,,,blended_model,global
Mehal Meda town,0.4988526793251516,0.4139917978594107,0.878698224852071,13,,,,,,,,,,,,,,blended_model,global
Mehal Sayint,0.41126089204735333,0.32467353098770235,0.9408284023668639,13,,,,,,,,,,,,,,blended_model,global
Mekan Eyesuse,0.39797767997777533,0.302514380728851,0.9644970414201184,13,,,,,,,,,,,,,,blended_model,global
Mekane Selam town,0.2744819306432576,0.1761093775531875,0.9807692307692307,13,,,,,,,,,,,,,,blended_model,global
Mekdela,0.49783216559994825,0.372564949670636,0.8788265306122449,14,,,,,,,,,,,,,,blended_model,global
Meket,0.5108745052618829,0.3970136518159633,0.875,14,,,,,,,,,,,,,,blended_model,global
Melka Nonno,0.9035937401177558,0.8976028387197531,0.6388888888888888,9,,,,,,,,,,,,,,blended_model,global
Mena Meketewa,0.4227197630502606,0.3229018682654221,0.9336734693877551,14,,,,,,,,,,,,,,blended_model,global
Menze Gera Midir,0.6149373261213904,0.5552223814030931,0.8461538461538461,13,,,,,,,,,,,,,,blended_model,global
Menze Keya Gabriel,0.4381598154297174,0.3488653123006923,0.9142011834319527,13,,,,,,,,,,,,,,blended_model,global
Menze Lalo Midir,0.45674902084163704,0.3662648082076404,0.9053254437869822,13,,,,,,,,,,,,,,blended_model,global
Menze Mama Midir,0.5220971454791545,0.44772364826028205,0.8653846153846154,13,,,,,,,,,,,,,,blended_model,global
Merhabete,0.3185511824374768,0.23105242981666313,0.9630177514792899,13,,,,,,,,,,,,,,blended_model,global
Mersa town,0.605725823675802,0.556329743790986,0.8392857142857143,14,,,,,,,,,,,,,,blended_model,global
Merti,0.5236747923837277,0.4075486798893502,0.8522222222222222,15,,,,,,,,,,,,,,blended_model,global
Merto Lemariyam town,0.3559084735662334,0.24172585980956524,0.9659763313609467,13,,,,,,,,,,,,,,blended_model,global
Mesela /Shen Duggoo,0.4514106542814887,0.3498150267925334,0.92578125,16,,,,,,,,,,,,,,blended_model,global
Meta Robi,0.7154877106672806,0.5354189390483521,0.755,10,,,,,,,,,,,,,,blended_model,global
Meta Walkite,0.7332008021197474,0.653431520528282,0.7160493827160493,9,,,,,,,,,,,,,,blended_model,global
Metehara town,0.6403862964983111,0.6002353298450882,0.84,15,,,,,,,,,,,,,,blended_model,global
Michakel,0.7535230090900087,0.4565819233022732,0.7375,10,,,,,,,,,,,,,,blended_model,global
